1949,Joe Page,60,New York,1949,Ted Wilks,59,St. Louis
1950,Mickey Harris,53,Washington,1950,Jim Konstanty,74,Philadelphia
1951,Ellis Kinder,63,Boston,1951,Ted Wilks,65,Pittsburgh
St. Louis,,,,,,,
1952,Bill Kennedy,47,Chicago,1952,Hoyt Wilhelm,71,New York
1953,Ellis Kinder,69,Boston,1953,Hoyt Wilhelm,68,New York
1954,Sonny Dixon,54,Philadelphia,1954,Jim Hughes,60,Brooklyn
Washington,,,,,,,
1955,Ray Narleski,60,Cleveland,1955,Clem Labine,60,Brooklyn
1956,George Zuverink,62,Baltimore,1956,Roy Face,68,Pittsburgh
1957,George Zuverink,56,Baltimore,1957,Turk Lown,67,Chicago
1958,Tex Clevenger,55,Washington,1958,Don Elston,69,Chicago
1959,Gerry Staley,67,Chicago,1959,Don Elston,65,Chicago
Bill Henry,Chicago,,,,,,
1960,Mike Fornieles,70,Boston,1960,Roy Face,68,Pittsburgh
1961,Luis Arroyo,65,New York,1961,Jack Baldschun,65,Philadelphia
1962,Dick Radatz,62,Boston,1962,Ron Perranoski,70,Los Angeles
1963,Stu Miller,71,Baltimore,1963,Ron Perranoski,69,Los Angeles
1964,John Wyatt,81,Kansas City,1964,Bob Miller,74,Los Angeles
1965,Eddie Fisher,82,Chicago,1965,Ted Abernathy,84,Chicago
1966,Eddie Fisher,67,Baltimore,1966,Clay Carroll,73,Atlanta
Chicago,,,,,,,
1967,Bob Locker,77,Chicago,1967,Ted Abernathy,70,Cincinnati
Ron Perranoski,Los Angeles,,,,,,
1968,Wilbur Wood,88,Chicago,1968,Ted Abernathy,78,Cincinnati
1969,Wilbur Wood,76,Chicago,1969,Wayne Granger,90,Cincinnati
1970,Wilbur Wood,77,Chicago,1970,Ron Herbel,76,New York
San Diego,,,,,,,
1971,Ken Sanders,83,Milwaukee,1971,Wayne Granger,70,Cincinnati
1972,Paul Lindblad,66,Texas,1972,Clay Carroll,65,Cincinnati
Mike Marshall,Montreal,,,,,,
1973,John Hiller,65,Detroit,1973,Mike Marshall,92,Montreal
1974,Rollie Fingers,76,Oakland,1974,Mike Marshall,106,Los Angeles
1975,Rollie Fingers,75,Oakland,1975,Gene Garber,71,Philadelphia
1976,Bill Campbell,78,Minnesota,1976,Dale Murray,81,Montreal
1977,Sparky Lyle,72,New York,1977,Rollie Fingers,78,San Diego
1978,Bob Lacey,74,Oakland,1978,Kent Tekulve,91,Pittsburgh
1979,Mike Marshall,90,Minnesota,1979,Kent Tekulve,94,Pittsburgh
1980,Dan Quisenberry,75,Kansas City,1980,Dick Tidrow,84,Chicago
1981,Doug Corbett,54,Minnesota,1981,Gary Lucas,57,San Diego
1982,Ed Vande Berg,78,Seattle,1982,Kent Tekulve,85,Pittsburgh
1983,Dan Quisenberry,69,Kansas City,1983,Bill Campbell,82,Chicago
1984,Willie Hernandez,80,Detroit,1984,Ted Power,78,Cincinnati
1985,Dan Quisenberry,84,Kansas City,1985,Tim Burke,78,Montreal
1986,Mitch Williams,80,Texas,1986,Craig Lefferts,83,San Diego
1987,Mark Eichhorn,89,Toronto,1987,Kent Tekulve,90,Philadelphia
1988,Chuck Crim,70,Milwaukee,1988,Rob Murphy,76,Cincinnati
1989,Chuck Crim,76,Milwaukee,1989,Mitch Williams,76,Chicago
1990,Bobby Thigpen,77,Chicago,1990,Juan Agosto,82,Houston
1991,Duane Ward,81,Toronto,1991,Barry Jones,77,Montreal
1992,Kenny Rogers,81,Texas,1992,Joe Boever,81,Houston
1993,Greg Harris,80,Boston,1993,Michael Jackson,81,San Francisco
1994,Bob Wickman,53,New York,1994,Steve Reed,61,Colorado
1995,Jesse Orosco,65,Baltimore,1995,Curt Leskanic,76,Colorado
1996,Eddie Guardado,83,Minnesota,1996,Brad Clontz,81,Atlanta
Mike Myers,Detroit,,,,,,
1997,Mike Myers,88,Detroit,1997,Julian Tavarez,89,San Francisco
1998,Sean Runyan,88,Detroit,1998,Rod Beck,81,Chicago
1999,Buddy Groom,76,Oakland,1999,Steve Kline,82,Montreal
Bob Wells,Minnesota,,,,,,
2000,Kelly Wunsch,83,Chicago,2000,Steve Kline,83,Montreal
2001,Paul Quantrill,80,Toronto,2001,Steve Kline,89,St. Louis
2002,Billy Koch,84,Oakland,2002,Paul Quantrill,86,Los Angeles
2003,Trever Miller,79,Toronto,2003,Paul Quantrill,89,Los Angeles
2004,Paul Quantrill,86,New York,2004,Jim Brower,89,San Francisco
2005,Mike Timlin,81,Boston,2005,Scott Eyre,86,San Francisco
2006,Scott Proctor,83,New York,2006,Salomon Torres,94,Pittsburgh
2007,Scott Downs,81,Toronto,2007,Jon Rauch,88,Washington
Jamie Walker,Baltimore,,,,,,
2008,Matt Guerrier,76,Minnesota,2008,Pedro Feliciano,86,New York
Francisco Rodriguez,Los Angeles,,,,,,
2009,Matt Guerrier,79,Minnesota,2009,Pedro Feliciano,88,New York
2010,Randy Choate,85,Tampa Bay,2010,Pedro Feliciano,92,New York
2011,Jose Valverde,75,Detroit,2011,Jonny Venters,85,Atlanta
2012,Boone Logan,80,New York,2012,Matt Belisle,80,Colorado
Shawn Camp,Chicago,,,,,,
