year,league,player,games,team
1925,NL,Johnny Morrison,44,Pittsburgh
1926,NL,Jack Scott,50,New York
1927,NL,Charlie Root,48,Chicago
1928,NL,Burleigh Grimes,48,Pittsburgh
1929,NL,Guy Bush,50,Chicago
1930,NL,Hal Elliott,48,Philadelphia
1931,NL,Jumbo Elliott,52,Philadelphia
1932,NL,Larry French,47,Pittsburgh
1933,NL,Dizzy Dean,48,St. Louis
1934,NL,Curt Davis,51,Philadelphia
1935,NL,Orville Jorgens,53,Philadelphia
1936,NL,Dizzy Dean,51,St. Louis
1937,NL,Hugh Mulcahy,56,Philadelphia
1938,NL,Mace Brown,51,Pittsburgh
1939,NL,Clyde Shoun,53,St. Louis
1940,NL,Clyde Shoun,54,St. Louis
1941,NL,Kirby Higbe,48,Brooklyn
1942,NL,Ace Adams,61,New York
1943,NL,Ace Adams,70,New York
1944,NL,Ace Adams,65,New York
1945,NL,Andy Karl,67,Philadelphia
1946,NL,Ken Trinkle,48,New York
1947,NL,Ken Trinkle,62,New York
1948,NL,Harry Gumbert,61,Cincinnati
1949,NL,Ted Wilks,59,St. Louis
1950,NL,Jim Konstanty,74,Philadelphia
1951,NL,Ted Wilks,65,Pittsburgh
1952,NL,Hoyt Wilhelm,71,New York
1953,NL,Hoyt Wilhelm,68,New York
1954,NL,Jim Hughes,60,Brooklyn
1955,NL,Clem Labine,60,Brooklyn
1956,NL,Roy Face,68,Pittsburgh
1957,NL,Turk Lown,67,Chicago
1958,NL,Don Elston,69,Chicago
1959,NL,Don Elston,65,Chicago
1960,NL,Roy Face,68,Pittsburgh
1961,NL,Jack Baldschun,65,Philadelphia
1962,NL,Ron Perranoski,70,Los Angeles
1963,NL,Ron Perranoski,69,Los Angeles
1964,NL,Bob Miller,74,Los Angeles
1965,NL,Ted Abernathy,84,Chicago
1966,NL,Clay Carroll,73,Atlanta
1967,NL,Ted Abernathy,70,Cincinnati
1968,NL,Ted Abernathy,78,Cincinnati
1969,NL,Wayne Granger,90,Cincinnati
1970,NL,Ron Herbel,76,New York
1971,NL,Wayne Granger,70,Cincinnati
1972,NL,Clay Carroll,65,Cincinnati
1973,NL,Mike Marshall,92,Montreal
1974,NL,Mike Marshall,106,Los Angeles
1975,NL,Gene Garber,71,Philadelphia
1976,NL,Dale Murray,81,Montreal
1977,NL,Rollie Fingers,78,San Diego
1978,NL,Kent Tekulve,91,Pittsburgh
1979,NL,Kent Tekulve,94,Pittsburgh
1980,NL,Dick Tidrow,84,Chicago
1981,NL,Gary Lucas,57,San Diego
1982,NL,Kent Tekulve,85,Pittsburgh
1983,NL,Bill Campbell,82,Chicago
1984,NL,Ted Power,78,Cincinnati
1985,NL,Tim Burke,78,Montreal
1986,NL,Craig Lefferts,83,San Diego
1987,NL,Kent Tekulve,90,Philadelphia
1988,NL,Rob Murphy,76,Cincinnati
1989,NL,Mitch Williams,76,Chicago
1990,NL,Juan Agosto,82,Houston
1991,NL,Barry Jones,77,Montreal
1992,NL,Joe Boever,81,Houston
1993,NL,Michael Jackson,81,San Francisco
1994,NL,Steve Reed,61,Colorado
1995,NL,Curt Leskanic,76,Colorado
1996,NL,Brad Clontz,81,Atlanta
1997,NL,Julian Tavarez,89,San Francisco
1998,NL,Rod Beck,81,Chicago
1999,NL,Steve Kline,82,Montreal
2000,NL,Steve Kline,83,Montreal
